# line ne Te tau C
# SFR = C * L_HeI / (1.26e41) / (0.0852 Y) Msun/yr
# Y = 0.25+26.13*10**(logOH-12); Izotov+14
# see Morishita et al., 2024
10830 10000 15000 20 0.0888
10830 10000 15000 30 0.0880
10830 10000 15000 40 0.0869
10830 10000 15000 50 0.0857
10830 10000 15000 60 0.0844
10830 10000 15000 70 0.0830
10830 10000 15000 80 0.0814
10830 10000 15000 90 0.0797
10830 10000 15000 100 0.0779
10830 10000 15000 110 0.0760
10830 10000 15000 120 0.0740
10830 10000 15000 130 0.0719
10830 10000 15000 140 0.0698
10830 10000 15000 150 0.0675
10830 10000 15000 160 0.0652
10830 10000 15000 170 0.0628
10830 10000 15000 180 0.0603
10830 10000 15000 190 0.0578
10830 10000 15000 200 0.0552
10830 10000 15000 210 0.0526
10830 10000 15000 220 0.0499
10830 10000 15000 230 0.0471
10830 10000 15000 240 0.0443
10830 10000 15000 250 0.0414
10830 10000 15000 260 0.0385
10830 10000 15000 270 0.0355
10830 10000 15000 280 0.0325
10830 10000 15000 290 0.0295
10830 10000 20000 0 0.0901
10830 10000 20000 10 0.0896
10830 10000 20000 20 0.0888
10830 10000 20000 30 0.0880
10830 10000 20000 40 0.0869
10830 10000 20000 50 0.0857
10830 10000 20000 60 0.0844
10830 10000 20000 70 0.0830
10830 10000 20000 80 0.0814
10830 10000 20000 90 0.0797
10830 10000 20000 100 0.0779
10830 10000 20000 110 0.0760
10830 10000 20000 120 0.0740
10830 10000 20000 130 0.0719
10830 10000 20000 140 0.0698
10830 10000 20000 150 0.0675
10830 10000 20000 160 0.0652
10830 10000 20000 170 0.0628
10830 10000 20000 180 0.0603
10830 10000 20000 190 0.0578
10830 10000 20000 200 0.0552
10830 10000 20000 210 0.0526
10830 10000 20000 220 0.0499
10830 10000 20000 230 0.0471
10830 10000 20000 240 0.0443
10830 10000 20000 250 0.0414
10830 10000 20000 260 0.0385
10830 10000 20000 270 0.0355
10830 10000 20000 280 0.0325
10830 10000 20000 290 0.0295
10830 10000 25000 0 0.0901
10830 10000 25000 10 0.0896
10830 10000 25000 20 0.0888
10830 10000 25000 30 0.0880
10830 10000 25000 40 0.0869
10830 10000 25000 50 0.0857
10830 10000 25000 60 0.0844
10830 10000 25000 70 0.0830
10830 10000 25000 80 0.0814
10830 10000 25000 90 0.0797
10830 10000 25000 100 0.0779
10830 10000 25000 110 0.0760
10830 10000 25000 120 0.0740
10830 10000 25000 130 0.0719
10830 10000 25000 140 0.0698
10830 10000 25000 150 0.0675
